state,emergency,stayhome
 Alabama,13-Mar,4-Apr
 Alaska,11-Mar,28-Mar
 American Samoa,29-Jan,
 Arizona,11-Mar,31-Mar
 Arkansas,11-Mar,
 California,4-Mar,19-Mar
 Colorado,10-Mar,26-Mar
 Connecticut,10-Mar,23-Mar
 Delaware,12-Mar,24-Mar
 District of Columbia,11-Mar,30-Mar
 Florida,1-Mar,3-Apr
 Georgia,14-Mar,3-Apr
 Guam,14-Mar,
 Hawaii,4-Mar,25-Mar
 Idaho,13-Mar,25-Mar
 Illiis,9-Mar,21-Mar
 Indiana,6-Mar,25-Mar
 Iowa,9-Mar,
 Kansas,9-Mar,30-Mar
 Kentucky,6-Mar,March 26 (advisory)
 Louisiana,11-Mar,23-Mar
 Maine,15-Mar,2-Apr
 Maryland,5-Mar,30-Mar
 Massachusetts,10-Mar,March 24 (advisory)
 Michigan,11-Mar,24-Mar
 Minnesota,13-Mar,27-Mar
 Mississippi,4-Mar,3-Apr
 Missouri,13-Mar,6-Apr
 Montana,12-Mar,28-Mar
 Nebraska,13-Mar,
 Nevada,12-Mar,1-Apr
 New Hampshire,13-Mar,27-Mar
 New Jersey,9-Mar,21-Mar
 New Mexico,11-Mar,24-Mar
 New York,7-Mar,22-Mar
 rth Carolina,10-Mar,30-Mar
 rth Dakota,13-Mar,
 N. Mariana Islands,29-Jan,
 Ohio,9-Mar,23-Mar
 Oklahoma,15-Mar,April 2 (partial advisory)
 Oregon,8-Mar,23-Mar
 Pennsylvania,6-Mar,1-Apr
 Puerto Rico,12-Mar,15-Mar
 Rhode Island,9-Mar,28-Mar
 South Carolina,13-Mar,7-Apr
 South Dakota,13-Mar,Regional
 Tennessee,12-Mar,2-Apr
 Texas,13-Mar,2-Apr
 Utah,6-Mar,Regional
 U.S. Virgin Islands,13-Mar,25-Mar
 Vermont,16-Mar,25-Mar
 Virginia,12-Mar,30-Mar
 Washington,29-Feb,23-Mar
 West Virginia,4-Mar,23-Mar
 Wisconsin,12-Mar,25-Mar
 Wyoming,12-Mar,Regional